t,Rd,Ts,mpp,Tg_mean,Tl_mean,Tg_if,Tg_far,Tl_center,Tl_if,energy_balance_if,mass_balance_rd
0.0001,9.900620953030406e-05,300.0,0.009937904696959533,299.9999502486311,299.99999999999994,299.99986855572104,300.0,299.99999999999994,299.99999999999994,,0.0
0.0002,9.8413279652707e-05,300.0,0.005929298775970562,299.99995704972116,299.99999999999994,299.9998865342544,300.0,299.99999999999994,299.99999999999994,,1.2241356875290608e-13
0.00030000000000000003,9.79456285251531e-05,300.0,0.004676511275538801,299.9999745244343,299.99999999999994,299.99993270150304,300.0,299.99999999999994,299.99999999999994,,7.21640018551578e-14
0.0004,9.751745373409978e-05,300.0,0.004281747910533283,299.9999800017029,299.99999999999994,299.99994716909964,300.0,299.99999999999994,299.99999999999994,,5.637700036946278e-14
0.0005,9.710203575628694e-05,300.0,0.004154179778128448,299.99998176839233,299.99999999999994,299.9999518356436,300.0,299.99999999999994,299.99999999999994,,5.116767273865024e-14
0.0006000000000000001,9.669104906528572e-05,300.0,0.004109866910012156,299.9999823849915,299.99999999999994,299.99995346436117,300.0,299.99999999999994,299.99999999999994,,4.9221157379973104e-14
0.0007000000000000001,9.62818947248283e-05,300.0,0.004091543404573891,299.9999826443691,299.99999999999994,299.9999541495201,300.0,299.99999999999994,299.99999999999994,,4.828476997082102e-14
0.0008000000000000001,9.587375672693668e-05,300.0,0.004081379978916163,299.9999827922645,299.99999999999994,299.99995454021166,300.0,299.99999999999994,299.99999999999994,,4.766353873416724e-14
0.0001,0.0001,300.0,0.0,300.0,299.99999999999994,300.00000000000006,300.0,299.99999999999994,299.99999999999994,,
1e-06,0.0001,300.0,0.0,300.0,300.0,300.0,300.0,300.0,300.0,,
1e-06,0.0001,600.0,0.0,393.595114764206,300.0,549.0250000710299,300.0,300.0,300.0,,
0.0001,0.0001,300.0,0.0,300.0,299.99999999999994,300.00000000000006,300.0,299.99999999999994,299.99999999999994,,
